modelo,bloco,RMSE,MAE,Bias,n_obs_usadas,R2_OOS
M1_nivel_local_H1,treino/desenvolvimento,25.41718121170031,19.148509885753985,0.5606343046920483,265,
M2_nivel_local_HN,treino/desenvolvimento,25.41718121170031,19.148509885753985,0.5606343046920483,265,
M3_tendencia_local_H1,treino/desenvolvimento,25.582007195902783,19.351598989754226,-0.8576413847627288,265,
M4_tendencia_local_HN,treino/desenvolvimento,25.582007195902783,19.351598989754226,-0.8576413847627288,265,
M5_custom_BoxCox_ciclo_amortecido,treino/desenvolvimento,23.8100548573469,17.72388388784423,1.3506311315070327,265,
M6_conformidade_tendencia_mais_ciclo_usual,treino/desenvolvimento,28.880435626395673,21.295346166773168,-1.537770214818621,265,
M1_nivel_local_H1,teste final OOS,25.714456521451645,19.63112390500867,-0.6303960995293885,33,0.8819597007236123
M2_nivel_local_HN,teste final OOS,25.714456521451645,19.63112390500867,-0.6303960995293885,33,0.8819597007236123
M3_tendencia_local_H1,teste final OOS,25.805491959657182,19.706913732714153,-1.3041308122078112,33,0.8811224384758057
M4_tendencia_local_HN,teste final OOS,25.805491959657182,19.706913732714153,-1.3041308122078112,33,0.8811224384758057
M5_custom_BoxCox_ciclo_amortecido,teste final OOS,24.369537192205414,18.632794805093937,0.02651521283292247,33,0.8939843049167115
M6_conformidade_tendencia_mais_ciclo_usual,teste final OOS,30.685690331230244,22.86187036558902,-1.6643769623482065,33,0.8319078631492112
