modelo,parametro,categoria,valor_estimado
M1_nivel_local_H1,sigma2.irregular,variancia_do_componente,0.0008983910251949129
M1_nivel_local_H1,sigma2.level,variancia_do_componente,75.30082499623454
M1_nivel_local_H1,sigma2.freq_seasonal_11(1),variancia_do_componente,301.2220564950611
M2_nivel_local_HN,sigma2.irregular,variancia_do_componente,0.0008983910251949129
M2_nivel_local_HN,sigma2.level,variancia_do_componente,75.30082499623454
M2_nivel_local_HN,sigma2.freq_seasonal_11(1),variancia_do_componente,301.2220564950611
M3_tendencia_local_H1,sigma2.irregular,variancia_do_componente,1.216038839230607e-10
M3_tendencia_local_H1,sigma2.level,variancia_do_componente,80.51876528227486
M3_tendencia_local_H1,sigma2.trend,variancia_do_componente,1.1681071364934512e-11
M3_tendencia_local_H1,sigma2.freq_seasonal_11(1),variancia_do_componente,297.6864353504631
M4_tendencia_local_HN,sigma2.irregular,variancia_do_componente,1.216038839230607e-10
M4_tendencia_local_HN,sigma2.level,variancia_do_componente,80.51876528227486
M4_tendencia_local_HN,sigma2.trend,variancia_do_componente,1.1681071364934512e-11
M4_tendencia_local_HN,sigma2.freq_seasonal_11(1),variancia_do_componente,297.6864353504631
M5_custom_BoxCox_ciclo_amortecido,sigma2.irregular,variancia_do_componente,1.4375391431370836e-06
M5_custom_BoxCox_ciclo_amortecido,sigma2.level,variancia_do_componente,7.4962405736738456
M5_custom_BoxCox_ciclo_amortecido,sigma2.cycle,variancia_do_componente,29.892442373854465
M5_custom_BoxCox_ciclo_amortecido,frequency.cycle,dinamica_ciclica,0.5904675263543531
M5_custom_BoxCox_ciclo_amortecido,damping.cycle,dinamica_ciclica,0.9544760481544667
M6_conformidade_tendencia_mais_ciclo_usual,sigma2.irregular,variancia_do_componente,9.678937791838297e-09
M6_conformidade_tendencia_mais_ciclo_usual,sigma2.level,variancia_do_componente,47.289619578043386
M6_conformidade_tendencia_mais_ciclo_usual,sigma2.trend,variancia_do_componente,9.788759714741259e-10
M6_conformidade_tendencia_mais_ciclo_usual,sigma2.cycle,variancia_do_componente,480.1693162506273
M6_conformidade_tendencia_mais_ciclo_usual,frequency.cycle,dinamica_ciclica,0.44879895051367286
